[2026-02-14 17:08:54.211][GPIO 3] [27454921] LEVEL: 1 | EDGE: 1
[2026-02-14 17:09:19.300][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:09:22.575][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:09:28.720][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:09:32.713][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:09:37.938][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:09:40.905][GPIO 3] [37348408] LEVEL: 1 | EDGE: 1
[2026-02-14 17:09:43.366][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:09:48.790][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:09:54.914][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:00.361][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:05.788][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:07.733][GPIO 3] [42296606] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:11.522][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:12.337][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:12.438][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:12.545][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:12.640][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:12.741][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:12.842][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:12.943][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:13.044][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:13.145][GPIO 3] [32396471] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:13.246][GPIO 3] [37348408] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:13.347][GPIO 3] [37348408] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:13.467][GPIO 3] [37348408] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:13.549][GPIO 3] [37348408] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:13.672][GPIO 3] [37348408] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:13.751][GPIO 3] [37348408] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:13.853][GPIO 3] [37348408] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:13.953][GPIO 3] [37348408] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:14.054][GPIO 3] [37348408] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:14.155][GPIO 3] [37348408] LEVEL: 1 | EDGE: 1
[2026-02-14 17:10:14.286][GPIO 3] [37348408] LEVEL: 1 | EDGE: 1
[2026-02-14 17:11:32.314][GPIO 3] [11529195] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:37.337][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:46.962][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:46.980][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:47.168][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:47.182][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:47.474][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:47.474][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:47.486][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:47.586][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:47.883][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:47.884][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:47.889][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:48.089][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:48.092][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:48.192][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
[2026-02-14 17:12:48.397][GPIO 3] [24376583] LEVEL: 1 | EDGE: 1
