[2026-02-15 15:26:03.558][GPIO 4] [215735771] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:04.480][GPIO 4] [216729362] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:05.606][GPIO 4] [217722972] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:06.443][GPIO 4] [218716534] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:07.450][GPIO 4] [219710083] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:08.474][GPIO 4] [220703640] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:09.497][GPIO 4] [221697198] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:10.420][GPIO 4] [222690773] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:11.443][GPIO 4] [223684313] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:12.467][GPIO 4] [224677891] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:13.491][GPIO 4] [225671434] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:14.413][GPIO 4] [226664986] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:15.437][GPIO 4] [227658531] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:27.007][GPIO 4] [6971266] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:27.315][GPIO 4] [7964845] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:28.339][GPIO 4] [8958404] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:29.363][GPIO 4] [9951932] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:30.388][GPIO 4] [10945383] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:31.309][GPIO 4] [11938886] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:32.335][GPIO 4] [12932417] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:33.358][GPIO 4] [13925901] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:34.279][GPIO 4] [14919374] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:35.302][GPIO 4] [15912905] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:36.326][GPIO 4] [16906465] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:37.248][GPIO 4] [17900031] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:38.272][GPIO 4] [18893603] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:39.296][GPIO 4] [19887142] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:40.320][GPIO 4] [20880745] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:41.242][GPIO 4] [21874357] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:42.265][GPIO 4] [22867954] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:43.290][GPIO 4] [23861555] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:44.211][GPIO 4] [24855208] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:45.235][GPIO 4] [25848818] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:46.259][GPIO 4] [26842414] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:47.181][GPIO 4] [27835998] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:48.205][GPIO 4] [28829550] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:49.229][GPIO 4] [29823059] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:50.253][GPIO 4] [30816568] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:51.174][GPIO 4] [31810095] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:52.198][GPIO 4] [32803624] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:53.223][GPIO 4] [33797119] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:54.144][GPIO 4] [34790646] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:55.168][GPIO 4] [35784233] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:56.192][GPIO 4] [36777762] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:57.216][GPIO 4] [37771301] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:58.137][GPIO 4] [38764895] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:59.162][GPIO 4] [39758497] LEVEL: 0 | EDGE: 0
[2026-02-15 15:27:00.183][GPIO 4] [40752164] LEVEL: 1 | EDGE: 1
[2026-02-15 15:27:01.082][GPIO 4] [41745835] LEVEL: 0 | EDGE: 0
[2026-02-15 15:27:02.131][GPIO 4] [42739464] LEVEL: 1 | EDGE: 1
[2026-02-15 15:27:03.155][GPIO 4] [43733174] LEVEL: 0 | EDGE: 0
