[2026-02-15 15:41:14.807][GPIO 3] [454112781] LEVEL: 1 | EDGE: 1
[2026-02-15 15:41:24.635][GPIO 3] [463999024] LEVEL: 0 | EDGE: 0
[2026-02-15 15:41:34.569][GPIO 3] [473885439] LEVEL: 1 | EDGE: 1
[2026-02-15 15:41:44.375][GPIO 3] [483771506] LEVEL: 0 | EDGE: 0
[2026-02-15 15:41:54.331][GPIO 3] [493656925] LEVEL: 1 | EDGE: 1
[2026-02-15 15:42:04.264][GPIO 3] [503542397] LEVEL: 0 | EDGE: 0
[2026-02-15 15:42:14.070][GPIO 3] [513428599] LEVEL: 1 | EDGE: 1
[2026-02-15 15:42:24.027][GPIO 3] [523314732] LEVEL: 0 | EDGE: 0
[2026-02-15 15:42:33.832][GPIO 3] [533200866] LEVEL: 1 | EDGE: 1
[2026-02-15 15:42:43.791][GPIO 3] [543086721] LEVEL: 0 | EDGE: 0
[2026-02-15 15:42:53.596][GPIO 3] [552972753] LEVEL: 1 | EDGE: 1
[2026-02-15 15:43:03.553][GPIO 3] [562858344] LEVEL: 0 | EDGE: 0
[2026-02-15 15:43:13.356][GPIO 3] [572743763] LEVEL: 1 | EDGE: 1
[2026-02-15 15:43:23.316][GPIO 3] [582629009] LEVEL: 0 | EDGE: 0
[2026-02-15 15:43:33.119][GPIO 3] [592513884] LEVEL: 1 | EDGE: 1
[2026-02-15 15:43:43.079][GPIO 3] [602398294] LEVEL: 0 | EDGE: 0
[2026-02-15 15:43:52.894][GPIO 3] [612283701] LEVEL: 1 | EDGE: 1
[2026-02-15 15:44:02.841][GPIO 3] [622169186] LEVEL: 0 | EDGE: 0
[2026-02-15 15:44:12.774][GPIO 3] [632055454] LEVEL: 1 | EDGE: 1
[2026-02-15 15:44:22.604][GPIO 3] [641942989] LEVEL: 0 | EDGE: 0
[2026-02-15 15:44:32.537][GPIO 3] [651830808] LEVEL: 1 | EDGE: 1
[2026-02-15 15:44:42.368][GPIO 3] [661718079] LEVEL: 0 | EDGE: 0
[2026-02-15 15:44:52.300][GPIO 3] [671605572] LEVEL: 1 | EDGE: 1
[2026-02-15 15:45:02.107][GPIO 3] [681493029] LEVEL: 0 | EDGE: 0
[2026-02-15 15:45:12.165][GPIO 3] [691380054] LEVEL: 1 | EDGE: 1
[2026-02-15 15:45:21.879][GPIO 3] [701267273] LEVEL: 0 | EDGE: 0
[2026-02-15 15:45:31.825][GPIO 3] [711152742] LEVEL: 1 | EDGE: 1
[2026-02-15 15:45:41.759][GPIO 3] [721038105] LEVEL: 0 | EDGE: 0
[2026-02-15 15:45:51.588][GPIO 3] [730923767] LEVEL: 1 | EDGE: 1
[2026-02-15 15:46:01.521][GPIO 3] [740809544] LEVEL: 0 | EDGE: 0
[2026-02-15 15:46:11.352][GPIO 3] [750695343] LEVEL: 1 | EDGE: 1
[2026-02-15 15:46:21.286][GPIO 3] [760581491] LEVEL: 0 | EDGE: 0
[2026-02-15 15:46:31.090][GPIO 3] [770467884] LEVEL: 1 | EDGE: 1
[2026-02-15 15:46:41.047][GPIO 3] [780356078] LEVEL: 0 | EDGE: 0
[2026-02-15 15:46:50.878][GPIO 3] [790245871] LEVEL: 1 | EDGE: 1
[2026-02-15 15:47:00.810][GPIO 3] [800133144] LEVEL: 0 | EDGE: 0
[2026-02-15 15:47:10.616][GPIO 3] [810017902] LEVEL: 1 | EDGE: 1
[2026-02-15 15:47:20.573][GPIO 3] [819902624] LEVEL: 0 | EDGE: 0
[2026-02-15 15:47:30.505][GPIO 3] [829787674] LEVEL: 1 | EDGE: 1
