[2026-02-14 17:35:03.691][GPIO 3] [22895866] LEVEL: 1 | EDGE: 1
[2026-02-14 17:35:08.709][GPIO 3] [27843556] LEVEL: 0 | EDGE: 0
[2026-02-14 17:35:13.624][GPIO 3] [32791040] LEVEL: 1 | EDGE: 1
[2026-02-14 17:35:18.539][GPIO 3] [37738101] LEVEL: 0 | EDGE: 0
[2026-02-14 17:35:23.557][GPIO 3] [42685511] LEVEL: 1 | EDGE: 1
[2026-02-14 17:35:28.472][GPIO 3] [47632763] LEVEL: 0 | EDGE: 0
[2026-02-14 17:35:33.387][GPIO 3] [52579790] LEVEL: 1 | EDGE: 1
[2026-02-14 17:35:38.302][GPIO 3] [57526995] LEVEL: 0 | EDGE: 0
[2026-02-14 17:35:43.320][GPIO 3] [62474439] LEVEL: 1 | EDGE: 1
[2026-02-14 17:35:48.235][GPIO 3] [67421799] LEVEL: 0 | EDGE: 0
[2026-02-14 17:35:53.150][GPIO 3] [72369666] LEVEL: 1 | EDGE: 1
[2026-02-14 17:36:09.636][GPIO 3] [10031544] LEVEL: 1 | EDGE: 1
[2026-02-14 17:36:14.551][GPIO 3] [14980206] LEVEL: 0 | EDGE: 0
[2026-02-14 17:36:19.569][GPIO 3] [19928283] LEVEL: 1 | EDGE: 1
[2026-02-14 17:36:24.484][GPIO 3] [24876170] LEVEL: 0 | EDGE: 0
[2026-02-14 17:36:29.399][GPIO 3] [29824059] LEVEL: 1 | EDGE: 1
[2026-02-14 17:36:32.061][GPIO 3] [32397228] LEVEL: 1 | EDGE: 1
[2026-02-14 17:53:30.339][GPIO 3] [9253056] LEVEL: 1 | EDGE: 1
[2026-02-14 17:53:35.254][GPIO 3] [14201128] LEVEL: 0 | EDGE: 0
[2026-02-14 17:53:40.169][GPIO 3] [19149019] LEVEL: 1 | EDGE: 1
[2026-02-14 17:53:45.187][GPIO 3] [24096853] LEVEL: 0 | EDGE: 0
[2026-02-14 17:53:50.102][GPIO 3] [29044416] LEVEL: 1 | EDGE: 1
[2026-02-14 17:53:55.120][GPIO 3] [33991771] LEVEL: 0 | EDGE: 0
[2026-02-14 17:54:09.969][GPIO 3] [9371348] LEVEL: 1 | EDGE: 1
[2026-02-14 17:54:14.884][GPIO 3] [14318750] LEVEL: 0 | EDGE: 0
[2026-02-14 17:54:19.799][GPIO 3] [19265948] LEVEL: 1 | EDGE: 1
[2026-02-14 17:54:24.715][GPIO 3] [24212760] LEVEL: 0 | EDGE: 0
[2026-02-14 17:54:29.732][GPIO 3] [29159638] LEVEL: 1 | EDGE: 1
[2026-02-14 17:54:34.648][GPIO 3] [34106558] LEVEL: 0 | EDGE: 0
[2026-02-14 17:54:39.563][GPIO 3] [39053527] LEVEL: 1 | EDGE: 1
[2026-02-14 17:54:44.581][GPIO 3] [44000760] LEVEL: 0 | EDGE: 0
[2026-02-14 17:54:49.496][GPIO 3] [48947664] LEVEL: 1 | EDGE: 1
[2026-02-14 17:54:54.411][GPIO 3] [53894677] LEVEL: 0 | EDGE: 0
[2026-02-14 17:54:59.327][GPIO 3] [58841578] LEVEL: 1 | EDGE: 1
[2026-02-14 17:55:00.351][GPIO 3] [59834324] LEVEL: 1 | EDGE: 1
[2026-02-14 17:55:04.959][GPIO 3] [64391012] LEVEL: 1 | EDGE: 1
[2026-02-14 17:55:09.875][GPIO 3] [69340050] LEVEL: 0 | EDGE: 0
[2026-02-14 17:55:14.790][GPIO 3] [74289042] LEVEL: 1 | EDGE: 1
[2026-02-14 17:55:19.807][GPIO 3] [79237951] LEVEL: 0 | EDGE: 0
[2026-02-14 17:55:24.723][GPIO 3] [84186490] LEVEL: 1 | EDGE: 1
[2026-02-14 17:55:29.601][GPIO 3] [89135074] LEVEL: 0 | EDGE: 0
[2026-02-14 17:55:34.553][GPIO 3] [94083437] LEVEL: 1 | EDGE: 1
[2026-02-14 17:55:39.571][GPIO 3] [99032068] LEVEL: 0 | EDGE: 0
[2026-02-14 17:55:44.447][GPIO 3] [103980696] LEVEL: 1 | EDGE: 1
[2026-02-14 17:55:49.504][GPIO 3] [108929034] LEVEL: 0 | EDGE: 0
[2026-02-14 17:55:54.419][GPIO 3] [113877122] LEVEL: 1 | EDGE: 1
[2026-02-14 17:55:59.334][GPIO 3] [118825142] LEVEL: 0 | EDGE: 0
[2026-02-14 17:56:04.239][GPIO 3] [123773385] LEVEL: 1 | EDGE: 1
[2026-02-14 17:56:09.268][GPIO 3] [128721568] LEVEL: 0 | EDGE: 0
[2026-02-14 17:56:41.921][GPIO 3] [10449250] LEVEL: 1 | EDGE: 1
[2026-02-14 17:56:46.952][GPIO 3] [15398140] LEVEL: 0 | EDGE: 0
[2026-02-14 17:56:51.867][GPIO 3] [20346825] LEVEL: 1 | EDGE: 1
[2026-02-14 17:56:56.783][GPIO 3] [25295809] LEVEL: 0 | EDGE: 0
[2026-02-14 17:57:01.707][GPIO 3] [30244734] LEVEL: 1 | EDGE: 1
[2026-02-14 17:57:06.715][GPIO 3] [35193269] LEVEL: 0 | EDGE: 0
[2026-02-14 17:57:11.631][GPIO 3] [40141604] LEVEL: 1 | EDGE: 1
[2026-02-14 17:57:16.648][GPIO 3] [45089444] LEVEL: 0 | EDGE: 0
[2026-02-14 17:57:21.564][GPIO 3] [50037493] LEVEL: 1 | EDGE: 1
[2026-02-14 17:57:26.479][GPIO 3] [54985512] LEVEL: 0 | EDGE: 0
[2026-02-14 17:57:31.497][GPIO 3] [59933862] LEVEL: 1 | EDGE: 1
[2026-02-14 17:57:36.412][GPIO 3] [64881948] LEVEL: 0 | EDGE: 0
[2026-02-14 17:57:41.327][GPIO 3] [69829919] LEVEL: 1 | EDGE: 1
[2026-02-14 17:57:46.250][GPIO 3] [74777696] LEVEL: 0 | EDGE: 0
[2026-02-14 17:57:51.260][GPIO 3] [79725503] LEVEL: 1 | EDGE: 1
[2026-02-14 17:57:56.175][GPIO 3] [84673388] LEVEL: 0 | EDGE: 0
[2026-02-14 17:58:01.193][GPIO 3] [89621209] LEVEL: 1 | EDGE: 1
[2026-02-14 17:58:06.109][GPIO 3] [94568855] LEVEL: 0 | EDGE: 0
[2026-02-14 17:58:11.024][GPIO 3] [99516305] LEVEL: 1 | EDGE: 1
[2026-02-14 17:58:15.939][GPIO 3] [104463572] LEVEL: 0 | EDGE: 0
[2026-02-14 17:58:20.957][GPIO 3] [109411054] LEVEL: 1 | EDGE: 1
[2026-02-14 17:58:25.974][GPIO 3] [114358335] LEVEL: 0 | EDGE: 0
[2026-02-14 17:58:30.787][GPIO 3] [119305714] LEVEL: 1 | EDGE: 1
[2026-02-14 17:58:35.805][GPIO 3] [124252616] LEVEL: 0 | EDGE: 0
[2026-02-14 17:58:40.720][GPIO 3] [129199767] LEVEL: 1 | EDGE: 1
[2026-02-14 17:58:45.635][GPIO 3] [134146781] LEVEL: 0 | EDGE: 0
[2026-02-14 17:58:50.607][GPIO 3] [139094016] LEVEL: 1 | EDGE: 1
[2026-02-14 17:58:55.568][GPIO 3] [144041193] LEVEL: 0 | EDGE: 0
[2026-02-14 17:59:14.615][GPIO 3] [11621464] LEVEL: 1 | EDGE: 1
[2026-02-14 17:59:19.530][GPIO 3] [16570549] LEVEL: 0 | EDGE: 0
[2026-02-14 17:59:24.548][GPIO 3] [21519000] LEVEL: 1 | EDGE: 1
[2026-02-14 17:59:29.463][GPIO 3] [26466915] LEVEL: 0 | EDGE: 0
[2026-02-14 17:59:34.379][GPIO 3] [31414873] LEVEL: 1 | EDGE: 1
[2026-02-14 17:59:39.303][GPIO 3] [36362716] LEVEL: 0 | EDGE: 0
[2026-02-14 17:59:44.314][GPIO 3] [41310602] LEVEL: 1 | EDGE: 1
[2026-02-14 17:59:49.227][GPIO 3] [46258298] LEVEL: 0 | EDGE: 0
[2026-02-14 17:59:54.244][GPIO 3] [51206146] LEVEL: 1 | EDGE: 1
[2026-02-14 17:59:59.160][GPIO 3] [56153879] LEVEL: 0 | EDGE: 0
[2026-02-14 18:00:04.075][GPIO 3] [61101945] LEVEL: 1 | EDGE: 1
[2026-02-14 18:00:09.093][GPIO 3] [66049999] LEVEL: 0 | EDGE: 0
[2026-02-14 18:00:13.961][GPIO 3] [70997711] LEVEL: 1 | EDGE: 1
[2026-02-14 18:00:18.923][GPIO 3] [75945237] LEVEL: 0 | EDGE: 0
[2026-02-14 18:00:23.941][GPIO 3] [80892848] LEVEL: 1 | EDGE: 1
[2026-02-14 18:00:28.856][GPIO 3] [85840094] LEVEL: 0 | EDGE: 0
[2026-02-14 18:00:33.874][GPIO 3] [90787436] LEVEL: 1 | EDGE: 1
[2026-02-14 18:00:38.687][GPIO 3] [95735107] LEVEL: 0 | EDGE: 0
[2026-02-14 18:00:43.704][GPIO 3] [100682831] LEVEL: 1 | EDGE: 1
[2026-02-14 18:00:48.572][GPIO 3] [105630709] LEVEL: 0 | EDGE: 0
[2026-02-14 18:00:53.536][GPIO 3] [110578799] LEVEL: 1 | EDGE: 1
[2026-02-14 18:00:58.552][GPIO 3] [115526381] LEVEL: 0 | EDGE: 0
[2026-02-14 18:01:03.420][GPIO 3] [120473867] LEVEL: 1 | EDGE: 1
[2026-02-14 18:01:08.368][GPIO 3] [125421308] LEVEL: 0 | EDGE: 0
