[2026-02-15 15:29:44.639][GPIO 4] [29129273] LEVEL: 1 | EDGE: 1
[2026-02-15 15:29:54.572][GPIO 4] [39015381] LEVEL: 0 | EDGE: 0
[2026-02-15 15:30:04.402][GPIO 4] [48901908] LEVEL: 1 | EDGE: 1
[2026-02-15 15:30:14.335][GPIO 4] [58787956] LEVEL: 0 | EDGE: 0
[2026-02-15 15:30:24.165][GPIO 4] [68673055] LEVEL: 1 | EDGE: 1
[2026-02-15 15:30:34.099][GPIO 4] [78559827] LEVEL: 0 | EDGE: 0
[2026-02-15 15:30:43.928][GPIO 4] [88447702] LEVEL: 1 | EDGE: 1
[2026-02-15 15:30:53.861][GPIO 4] [98335959] LEVEL: 0 | EDGE: 0
[2026-02-15 15:31:03.691][GPIO 4] [108223842] LEVEL: 1 | EDGE: 1
[2026-02-15 15:31:23.557][GPIO 4] [13990654] LEVEL: 1 | EDGE: 1
[2026-02-15 15:31:33.387][GPIO 4] [23877963] LEVEL: 0 | EDGE: 0
[2026-02-15 15:31:43.239][GPIO 4] [33765673] LEVEL: 1 | EDGE: 1
[2026-02-15 15:31:53.150][GPIO 4] [43653847] LEVEL: 0 | EDGE: 0
[2026-02-15 15:32:03.083][GPIO 4] [53542308] LEVEL: 1 | EDGE: 1
[2026-02-15 15:32:12.913][GPIO 4] [63430577] LEVEL: 0 | EDGE: 0
[2026-02-15 15:32:22.847][GPIO 4] [73318795] LEVEL: 1 | EDGE: 1
[2026-02-15 15:32:32.778][GPIO 4] [83207098] LEVEL: 0 | EDGE: 0
[2026-02-15 15:32:42.577][GPIO 4] [93095607] LEVEL: 1 | EDGE: 1
[2026-02-15 15:32:52.541][GPIO 4] [102983365] LEVEL: 0 | EDGE: 0
[2026-02-15 15:33:02.474][GPIO 4] [112871462] LEVEL: 1 | EDGE: 1
[2026-02-15 15:33:12.304][GPIO 4] [122759669] LEVEL: 0 | EDGE: 0
[2026-02-15 15:33:19.448][GPIO 4] [129734207] LEVEL: 1 | EDGE: 1
[2026-02-15 15:33:20.166][GPIO 4] [130519241] LEVEL: 1 | EDGE: 1
[2026-02-15 15:33:49.663][GPIO 4] [9176456] LEVEL: 0 | EDGE: 0
[2026-02-15 15:33:59.613][GPIO 4] [19064811] LEVEL: 1 | EDGE: 1
[2026-02-15 15:34:09.443][GPIO 4] [28953528] LEVEL: 0 | EDGE: 0
[2026-02-15 15:34:19.326][GPIO 4] [38841969] LEVEL: 1 | EDGE: 1
[2026-02-15 15:34:29.308][GPIO 4] [48729856] LEVEL: 0 | EDGE: 0
[2026-02-15 15:34:39.548][GPIO 4] [58617723] LEVEL: 1 | EDGE: 1
[2026-02-15 15:34:49.276][GPIO 4] [68505137] LEVEL: 0 | EDGE: 0
[2026-02-15 15:34:58.866][GPIO 4] [78392786] LEVEL: 1 | EDGE: 1
[2026-02-15 15:35:08.834][GPIO 4] [88280634] LEVEL: 0 | EDGE: 0
[2026-02-15 15:35:18.664][GPIO 4] [98168113] LEVEL: 1 | EDGE: 1
[2026-02-15 15:35:28.597][GPIO 4] [108055659] LEVEL: 0 | EDGE: 0
[2026-02-15 15:35:38.427][GPIO 4] [117943245] LEVEL: 1 | EDGE: 1
[2026-02-15 15:35:48.360][GPIO 4] [127830550] LEVEL: 0 | EDGE: 0
[2026-02-15 15:35:58.190][GPIO 4] [137718007] LEVEL: 1 | EDGE: 1
[2026-02-15 15:36:08.123][GPIO 4] [147605312] LEVEL: 0 | EDGE: 0
[2026-02-15 15:36:18.056][GPIO 4] [157492087] LEVEL: 1 | EDGE: 1
[2026-02-15 15:36:27.886][GPIO 4] [167379625] LEVEL: 0 | EDGE: 0
[2026-02-15 15:36:37.820][GPIO 4] [177267586] LEVEL: 1 | EDGE: 1
[2026-02-15 15:36:47.649][GPIO 4] [187155199] LEVEL: 0 | EDGE: 0
[2026-02-15 15:36:57.581][GPIO 4] [197043659] LEVEL: 1 | EDGE: 1
[2026-02-15 15:37:07.412][GPIO 4] [206931914] LEVEL: 0 | EDGE: 0
[2026-02-15 15:37:17.344][GPIO 4] [216820058] LEVEL: 1 | EDGE: 1
[2026-02-15 15:37:27.277][GPIO 4] [226708293] LEVEL: 0 | EDGE: 0
[2026-02-15 15:37:37.108][GPIO 4] [236596034] LEVEL: 1 | EDGE: 1
[2026-02-15 15:37:47.042][GPIO 4] [246483209] LEVEL: 0 | EDGE: 0
[2026-02-15 15:37:56.870][GPIO 4] [256371139] LEVEL: 1 | EDGE: 1
[2026-02-15 15:38:06.803][GPIO 4] [266258057] LEVEL: 0 | EDGE: 0
[2026-02-15 15:38:16.634][GPIO 4] [276144380] LEVEL: 1 | EDGE: 1
[2026-02-15 15:38:26.566][GPIO 4] [286031552] LEVEL: 0 | EDGE: 0
[2026-02-15 15:38:36.396][GPIO 4] [295918684] LEVEL: 1 | EDGE: 1
[2026-02-15 15:38:46.329][GPIO 4] [305805003] LEVEL: 0 | EDGE: 0
[2026-02-15 15:38:56.159][GPIO 4] [315692276] LEVEL: 1 | EDGE: 1
[2026-02-15 15:39:06.092][GPIO 4] [325579351] LEVEL: 0 | EDGE: 0
[2026-02-15 15:39:16.024][GPIO 4] [335467011] LEVEL: 1 | EDGE: 1
[2026-02-15 15:39:25.854][GPIO 4] [345354110] LEVEL: 0 | EDGE: 0
[2026-02-15 15:39:35.787][GPIO 4] [355240471] LEVEL: 1 | EDGE: 1
[2026-02-15 15:39:45.585][GPIO 4] [365127376] LEVEL: 0 | EDGE: 0
[2026-02-15 15:39:55.550][GPIO 4] [375014127] LEVEL: 1 | EDGE: 1
[2026-02-15 15:40:05.381][GPIO 4] [384900363] LEVEL: 0 | EDGE: 0
[2026-02-15 15:40:15.313][GPIO 4] [394787408] LEVEL: 1 | EDGE: 1
[2026-02-15 15:40:25.245][GPIO 4] [404674370] LEVEL: 0 | EDGE: 0
[2026-02-15 15:40:35.076][GPIO 4] [414561422] LEVEL: 1 | EDGE: 1
[2026-02-15 15:40:45.009][GPIO 4] [424448681] LEVEL: 0 | EDGE: 0
