[2026-02-15 15:26:02.703][GPIO 3] [214744671] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:03.625][GPIO 3] [215735887] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:04.685][GPIO 3] [216731889] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:05.811][GPIO 3] [217723089] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:06.733][GPIO 3] [218719060] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:07.654][GPIO 3] [219710200] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:08.678][GPIO 3] [220706167] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:09.702][GPIO 3] [221697314] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:10.624][GPIO 3] [222693300] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:11.647][GPIO 3] [223684447] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:12.672][GPIO 3] [224680418] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:13.558][GPIO 3] [225671688] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:14.617][GPIO 3] [226667512] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:15.641][GPIO 3] [227658596] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:27.008][GPIO 3] [6973793] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:27.521][GPIO 3] [7967373] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:28.545][GPIO 3] [8960931] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:29.568][GPIO 3] [9954459] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:30.455][GPIO 3] [10947909] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:31.513][GPIO 3] [11941413] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:32.640][GPIO 3] [12934944] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:33.427][GPIO 3] [13928427] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:34.483][GPIO 3] [14921901] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:35.507][GPIO 3] [15915432] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:36.531][GPIO 3] [16908992] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:37.454][GPIO 3] [17902558] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:38.477][GPIO 3] [18896130] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:39.501][GPIO 3] [19889669] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:40.394][GPIO 3] [20883272] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:41.446][GPIO 3] [21876884] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:42.470][GPIO 3] [22870481] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:43.359][GPIO 3] [23864082] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:44.416][GPIO 3] [24857735] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:45.439][GPIO 3] [25851345] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:46.463][GPIO 3] [26844941] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:47.356][GPIO 3] [27838525] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:48.409][GPIO 3] [28832077] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:49.433][GPIO 3] [29825586] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:50.320][GPIO 3] [30819095] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:51.380][GPIO 3] [31812622] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:52.403][GPIO 3] [32806151] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:53.290][GPIO 3] [33799645] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:54.349][GPIO 3] [34793173] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:55.372][GPIO 3] [35786760] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:56.397][GPIO 3] [36780289] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:57.284][GPIO 3] [37773828] LEVEL: 0 | EDGE: 0
[2026-02-15 15:26:58.345][GPIO 3] [38767422] LEVEL: 1 | EDGE: 1
[2026-02-15 15:26:59.367][GPIO 3] [39761024] LEVEL: 0 | EDGE: 0
[2026-02-15 15:27:00.252][GPIO 3] [40754692] LEVEL: 1 | EDGE: 1
[2026-02-15 15:27:01.312][GPIO 3] [41748363] LEVEL: 0 | EDGE: 0
[2026-02-15 15:27:02.336][GPIO 3] [42741992] LEVEL: 1 | EDGE: 1
[2026-02-15 15:27:03.360][GPIO 3] [43735701] LEVEL: 0 | EDGE: 0
